title,author,isbn
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,0345453743
Liars & Outliers, Bruch Schneier,1118643607
Stars in the Texas Sky,Stephen J. Matlock,1477458786
The Good Man Jesus and the Scoundrel Christ, Philip Pullman,080212996X
Do Androids Dream of Electric Sheep, Philip K. Dick,1568658559
Argo: How the CIA and Hollywood Pulled Off the Most Audacious Rescue in History, Antonio Mendez and Matt Baglio,0670026220
H.P. Lovecraft: The Complete Collection, H.P. Lovecraft,
Snow Crash, Neal Stephenson,
The First Muslim: The Story of Muhammad, Lesley Hazleton,
Jurassic Park, Michael Crichton,
The Lost World, Michael Crichton,
Surely You're Joking Mr. Feynman, Richard Feynman,
Tower of Basel, Adam Lebor,
Crytonomicon, Neal Stephenson,
Between Giants: The Battle for the Baltics in World War II, Prit Buttar,
The Kiling Zone: How and Why Pilots Die, Paul A. Craig,
The Code Book, Simon Singh,
The Diamond Age, Neal Stephenson,
1Q84, Haruki Murakami,
Red Plenty, Francis Spufford,
The Jennifer Morgue, Charles Stross,
Skyfaring: A Journey with a Pilot, Mark Vanhoenacker,
Autobiograpy of a Yogi, Paramahansa Yogananda,
The Man in the High Castle, Philip K. Dick,
Secrets and Lies, Bruce Schneier,
The Martian, Andy Weir,
The Three-Body Problem, Cixin Liu,
The Dark Forest, Cixin Liu, 
The fuller Memorandum, Charles Stross,
Crucial Conversations, Kerry Patterson, 
The Master of Disguise, Antonio Mendez,
Chernobyl 01:23:40, Andrew Leatherbarrow, 
The Apocalypse Codex, Charles Stross,
The Collectors, Philip Pullman,
The Cuckoo's Egg, Clifford Stoll,
The Rise and Fall of the Third Reich, William L. Shirer,
Death's End, Cixin Liu,
Quicksilver, Neal Stephenson,
China's Wings, Gregory Crouch,
The Rhesus Chart, Charles Stross,
Why Buddhism is True, Robert Wright, 
The Confusion, Neal Stephenson,
The Prophet, Kahlil Gibran,
The Nightmare Stacks, Charles Stross,
The Annihilation Score, Charles Stross,
The System of the World, Neal Stephenson,
The Delirium Brief, Charles Stross,
The Wandering Earth, Cixin Liu,
The Labyrinth Index, Charles Stross,
The Mind Illuminated, John Yates,
Ball Lightning, Cixin Liu,
Tao Te Ching, Lao-Tzu,
Supernova Era, Cixin Liu,
The Gateless Gate, Koun Yamada,
Ghost Wars, Steve Coll
The Mythical Man-Month, Frederick P. Brooks Jr.,
Staff Engineer, Will Larson, 
To Hold Up the Sky, Cixin Liu,
Escape from Yokai Land, Charles Stross, 
Zen and The Art of Motorcycle Maintenancy, Robert Pirsig,
